-20,-10,0.32713,0.016562,1.282056,0.014817,0.184333,-0.004939
-20,-5,0.334194,0.0088,1.279485,0.007409,0.184333,-0.00247
-20,0,0.336893,0.0,1.278503,0.0,0.184333,0.0
-20,5,0.335148,-0.008889,1.279138,-0.007409,0.184333,0.00247
-20,10,0.329017,-0.016916,1.281369,-0.014817,0.184333,0.004939
-15,-10,0.170299,0.025133,0.954222,0.014817,0.143937,-0.004939
-15,-5,0.178103,0.013102,0.952131,0.007409,0.143937,-0.00247
-15,0,0.181059,0.0,0.951338,0.0,0.143937,0.0
-15,5,0.179084,-0.013191,0.951868,-0.007409,0.143937,0.00247
-15,10,0.172239,-0.025488,0.953702,-0.014817,0.143937,0.004939
-10,-10,0.057846,0.030914,0.614231,0.014817,0.103541,-0.004939
-10,-5,0.066176,0.016004,0.612762,0.007409,0.103541,-0.00247
-10,0,0.069315,0.0,0.612209,0.0,0.103541,0.0
-10,5,0.067176,-0.016092,0.612586,-0.007409,0.103541,0.00247
-10,10,0.059824,-0.031268,0.613882,-0.014817,0.103541,0.004939
-5,-10,-0.0096,0.033902,0.265953,0.014817,0.063146,-0.004939
-5,-5,-0.000979,0.017504,0.265199,0.007409,0.063146,-0.00247
-5,0,0.002262,0.0,0.264915,0.0,0.063146,0.0
-5,5,3.3e-05,-0.017593,0.26511,-0.007409,0.063146,0.00247
-5,10,-0.007599,-0.034257,0.265778,-0.014817,0.063146,0.004939
0,-10,-0.031624,0.0341,-0.086736,0.014817,0.02275,-0.004939
0,-5,-0.022957,0.017603,-0.086736,0.007409,0.02275,-0.00247
0,0,-0.0197,0.0,-0.086736,0.0,0.02275,0.0
0,5,-0.021941,-0.017692,-0.086736,-0.007409,0.02275,0.00247
0,10,-0.029616,-0.034454,-0.086736,-0.014817,0.02275,0.004939
5,-10,-0.008024,0.031505,-0.439949,0.014817,-0.017646,-0.004939
5,-5,0.000441,0.016301,-0.439208,0.007409,-0.017646,-0.00247
5,0,0.003629,0.0,-0.438929,0.0,-0.017646,0.0
5,5,0.001453,-0.016389,-0.43912,-0.007409,-0.017646,0.00247
5,10,-0.006023,-0.03186,-0.439774,-0.014817,-0.017646,0.004939
10,-10,0.061193,0.02612,-0.789788,0.014817,-0.058041,-0.004939
10,-5,0.069213,0.013597,-0.788374,0.007409,-0.058041,-0.00247
10,0,0.072249,0.0,-0.787838,0.0,-0.058041,0.0
10,5,0.070214,-0.013686,-0.788197,-0.007409,-0.058041,0.00247
10,10,0.063171,-0.026474,-0.789439,-0.014817,-0.058041,0.004939
15,-10,0.175803,0.017942,-1.132337,0.014817,-0.098437,-0.004939
15,-5,0.183152,0.009493,-1.130368,0.007409,-0.098437,-0.00247
15,0,0.185956,0.0,-1.129617,0.0,-0.098437,0.0
15,5,0.184133,-0.009582,-1.130105,-0.007409,-0.098437,0.00247
15,10,0.177743,-0.018296,-1.131817,-0.014817,-0.098437,0.004939
20,-10,0.335362,0.006973,-1.463664,0.014817,-0.138833,-0.004939
20,-5,0.341835,0.003988,-1.461308,0.007409,-0.138833,-0.00247
20,0,0.344337,0.0,-1.460397,0.0,-0.138833,0.0
20,5,0.34279,-0.004077,-1.46096,-0.007409,-0.138833,0.00247
20,10,0.33725,-0.007328,-1.462977,-0.014817,-0.138833,0.004939
