alpha,beta,mach,reynolds,delta21,delta22,cf_cl,cf_cd,cf_x,cf_y,cf_z,cf_xp,cf_yp,cf_yr,cf_zq,cf_zad,cm_x,cm_y,cm_z,cm_yad,cm_zad,cm_zr
-30.0,-30.0,0.3,6904000.0,-30.0,-30.0,-1.861,1.148,0.064,0.131,-2.186,-0.005,-0.0,-0.02,-0.096,0.4,0.183,3.759,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-30.0,-1.593,0.727,0.063,0.129,-1.75,0.001,0.0,-0.02,-0.089,0.4,0.185,2.994,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-30.0,-1.273,0.455,0.11,0.126,-1.348,-0.021,0.0,-0.02,-0.103,0.4,0.255,1.946,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-30.0,-0.628,1.4,1.306,0.123,-0.805,-0.018,-0.0,-0.02,-0.055,0.4,0.298,0.821,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-30.0,-0.0,1.869,1.869,0.123,-0.0,0.0,-0.0,-0.02,0.024,0.4,0.396,0.0,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-30.0,0.6,1.412,1.321,0.123,0.779,-0.017,0.0,-0.02,0.104,0.4,0.433,-0.689,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-30.0,1.217,0.465,0.134,0.126,1.295,-0.024,0.0,-0.02,0.158,0.4,0.385,-1.683,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-30.0,1.543,0.727,0.082,0.129,1.704,-0.006,-0.0,-0.02,0.159,0.4,0.369,-2.764,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-30.0,1.832,1.144,0.075,0.131,2.159,-0.005,0.0,-0.02,0.136,0.4,0.348,-3.621,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-25.0,-1.87,1.156,0.066,0.131,-2.198,-0.004,-0.0,-0.02,-0.096,0.4,0.17,3.819,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-25.0,-1.603,0.733,0.064,0.129,-1.761,0.002,0.0,-0.02,-0.089,0.4,0.174,3.052,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-25.0,-1.293,0.458,0.108,0.126,-1.367,-0.019,0.0,-0.02,-0.098,0.4,0.235,2.045,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-25.0,-0.647,1.398,1.301,0.123,-0.824,-0.017,-0.0,-0.02,-0.056,0.4,0.278,0.916,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-25.0,-0.01,1.864,1.864,0.123,-0.01,0.0,-0.0,-0.02,0.024,0.4,0.386,0.052,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-25.0,0.591,1.405,1.316,0.123,0.769,-0.018,0.0,-0.02,0.103,0.4,0.424,-0.638,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-25.0,1.208,0.455,0.127,0.126,1.285,-0.025,0.0,-0.02,0.159,0.4,0.375,-1.63,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-25.0,1.538,0.716,0.073,0.129,1.695,-0.007,-0.0,-0.02,0.161,0.4,0.361,-2.718,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-25.0,1.832,1.133,0.066,0.131,2.153,-0.005,0.0,-0.02,0.138,0.4,0.343,-3.592,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-20.0,-1.875,1.16,0.067,0.131,-2.203,-0.003,-0.0,-0.02,-0.096,0.4,0.165,3.846,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-20.0,-1.607,0.736,0.065,0.129,-1.766,0.002,0.0,-0.02,-0.09,0.4,0.169,3.076,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-20.0,-1.302,0.459,0.107,0.126,-1.376,-0.018,0.0,-0.02,-0.096,0.4,0.226,2.09,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-20.0,-0.656,1.397,1.299,0.123,-0.833,-0.017,-0.0,-0.02,-0.056,0.4,0.27,0.958,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-20.0,-0.015,1.862,1.862,0.123,-0.015,0.0,-0.0,-0.02,0.024,0.4,0.381,0.077,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-20.0,0.587,1.402,1.313,0.123,0.765,-0.018,0.0,-0.02,0.102,0.4,0.421,-0.617,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-20.0,1.204,0.451,0.124,0.126,1.28,-0.025,0.0,-0.02,0.159,0.4,0.371,-1.606,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-20.0,1.535,0.712,0.07,0.129,1.691,-0.007,-0.0,-0.02,0.162,0.4,0.357,-2.697,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-20.0,1.831,1.128,0.062,0.131,2.15,-0.005,0.0,-0.02,0.139,0.4,0.34,-3.578,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-15.0,-1.888,1.172,0.071,0.131,-2.222,-0.001,-0.0,-0.02,-0.096,0.4,0.146,3.938,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-15.0,-1.619,0.744,0.068,0.129,-1.78,0.003,0.0,-0.02,-0.093,0.4,0.155,3.148,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-15.0,-1.33,0.465,0.105,0.126,-1.405,-0.015,0.0,-0.02,-0.086,0.4,0.197,2.233,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-15.0,-0.684,1.395,1.294,0.123,-0.86,-0.016,-0.0,-0.02,-0.056,0.4,0.241,1.097,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-15.0,-0.034,1.856,1.856,0.123,-0.034,0.0,-0.0,-0.02,0.024,0.4,0.362,0.169,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-15.0,0.575,1.393,1.306,0.123,0.752,-0.019,0.0,-0.02,0.1,0.4,0.41,-0.551,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-15.0,1.191,0.437,0.114,0.126,1.264,-0.026,0.0,-0.02,0.16,0.4,0.357,-1.524,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-15.0,1.526,0.696,0.059,0.129,1.676,-0.008,-0.0,-0.02,0.166,0.4,0.345,-2.624,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-15.0,1.829,1.113,0.049,0.131,2.14,-0.006,0.0,-0.02,0.142,0.4,0.33,-3.528,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-10.0,-1.915,1.199,0.081,0.131,-2.258,0.002,-0.0,-0.02,-0.094,0.4,0.107,4.121,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-10.0,-1.642,0.762,0.076,0.129,-1.808,0.004,0.0,-0.02,-0.101,0.4,0.129,3.288,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-10.0,-1.375,0.479,0.106,0.126,-1.452,-0.01,0.0,-0.02,-0.07,0.4,0.149,2.47,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-10.0,-0.74,1.396,1.287,0.123,-0.916,-0.013,-0.0,-0.02,-0.057,0.4,0.184,1.378,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-10.0,-0.082,1.844,1.844,0.123,-0.082,0.0,-0.0,-0.02,0.024,0.4,0.312,0.414,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-10.0,0.552,1.378,1.294,0.123,0.727,-0.02,0.0,-0.02,0.096,0.4,0.389,-0.427,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-10.0,1.163,0.413,0.097,0.126,1.23,-0.029,0.0,-0.02,0.161,0.4,0.327,-1.356,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-10.0,1.505,0.665,0.038,0.129,1.645,-0.011,-0.0,-0.02,0.173,0.4,0.317,-2.466,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-10.0,1.82,1.08,0.026,0.131,2.117,-0.007,0.0,-0.02,0.149,0.4,0.306,-3.411,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-5.0,-1.94,1.231,0.096,0.131,-2.296,0.006,-0.0,-0.02,-0.091,0.4,0.067,4.309,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-5.0,-1.671,0.786,0.086,0.129,-1.844,0.008,0.0,-0.02,-0.102,0.4,0.093,3.468,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-5.0,-1.409,0.495,0.114,0.126,-1.489,-0.007,0.0,-0.02,-0.065,0.4,0.114,2.655,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-5.0,-0.801,1.403,1.286,0.123,-0.977,-0.01,-0.0,-0.02,-0.055,0.4,0.121,1.685,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-5.0,-0.143,1.836,1.836,0.123,-0.143,0.0,-0.0,-0.02,0.024,0.4,0.25,0.719,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-5.0,0.518,1.362,1.282,0.123,0.691,-0.021,0.0,-0.02,0.102,0.4,0.357,-0.248,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-5.0,1.133,0.389,0.083,0.126,1.195,-0.031,0.0,-0.02,0.159,0.4,0.297,-1.179,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-5.0,1.478,0.633,0.019,0.129,1.608,-0.014,-0.0,-0.02,0.178,0.4,0.284,-2.283,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-5.0,1.806,1.046,0.003,0.131,2.087,-0.009,0.0,-0.02,0.155,0.4,0.275,-3.262,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,0.0,-1.961,1.265,0.115,0.131,-2.331,0.009,-0.0,-0.02,-0.085,0.4,0.03,4.488,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,0.0,-1.7,0.813,0.101,0.129,-1.882,0.011,0.0,-0.02,-0.101,0.4,0.055,3.657,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,0.0,-1.433,0.513,0.124,0.126,-1.517,-0.005,0.0,-0.02,-0.072,0.4,0.088,2.796,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,0.0,-0.857,1.415,1.291,0.123,-1.034,-0.008,-0.0,-0.02,-0.042,0.4,0.063,1.97,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,0.0,-0.204,1.834,1.834,0.123,-0.204,0.0,-0.0,-0.02,0.024,0.4,0.188,1.024,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,0.0,0.468,1.347,1.275,0.123,0.64,-0.022,0.0,-0.02,0.114,0.4,0.307,0.01,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,0.0,1.107,0.371,0.072,0.126,1.166,-0.034,0.0,-0.02,0.152,0.4,0.273,-1.031,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,0.0,1.448,0.604,0.004,0.129,1.569,-0.018,-0.0,-0.02,0.182,0.4,0.249,-2.088,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,0.0,1.786,1.012,-0.017,0.131,2.053,-0.012,0.0,-0.02,0.16,0.4,0.239,-3.091,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,5.0,-1.978,1.3,0.136,0.131,-2.363,0.012,-0.0,-0.02,-0.078,0.4,-0.004,4.648,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,5.0,-1.726,0.844,0.119,0.129,-1.918,0.014,0.0,-0.02,-0.098,0.4,0.018,3.838,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,5.0,-1.461,0.534,0.138,0.126,-1.549,-0.003,0.0,-0.02,-0.076,0.4,0.057,2.958,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,5.0,-0.895,1.431,1.301,0.123,-1.074,-0.007,-0.0,-0.02,-0.033,0.4,0.023,2.171,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,5.0,-0.265,1.839,1.839,0.123,-0.265,0.0,-0.0,-0.02,0.024,0.4,0.126,1.329,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,5.0,0.407,1.337,1.273,0.123,0.578,-0.024,-0.0,-0.02,0.121,0.4,0.245,0.323,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,5.0,1.076,0.354,0.064,0.126,1.131,-0.036,0.0,-0.02,0.151,0.4,0.244,-0.858,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,5.0,1.417,0.579,-0.007,0.129,1.531,-0.022,-0.0,-0.02,0.184,0.4,0.215,-1.895,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,5.0,1.763,0.979,-0.033,0.131,2.016,-0.016,0.0,-0.02,0.163,0.4,0.201,-2.907,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,10.0,-1.989,1.335,0.161,0.131,-2.39,0.014,-0.0,-0.02,-0.071,0.4,-0.033,4.785,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,10.0,-1.749,0.876,0.14,0.129,-1.951,0.017,0.0,-0.02,-0.093,0.4,-0.016,4.006,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,10.0,-1.49,0.56,0.156,0.126,-1.584,0.0,0.0,-0.02,-0.075,0.4,0.022,3.134,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,10.0,-0.921,1.447,1.314,0.123,-1.102,-0.005,-0.0,-0.02,-0.032,0.4,-0.004,2.313,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,10.0,-0.322,1.849,1.849,0.123,-0.322,0.0,-0.0,-0.02,0.024,0.4,0.066,1.619,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,10.0,0.345,1.333,1.277,0.123,0.516,-0.027,-0.0,-0.02,0.119,0.4,0.184,0.633,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,10.0,1.032,0.338,0.06,0.126,1.084,-0.04,0.0,-0.02,0.166,0.4,0.201,-0.621,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,10.0,1.39,0.558,-0.016,0.129,1.498,-0.025,-0.0,-0.02,0.179,0.4,0.188,-1.729,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,10.0,1.736,0.949,-0.046,0.131,1.978,-0.019,0.0,-0.02,0.165,0.4,0.161,-2.713,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,15.0,-1.995,1.367,0.186,0.131,-2.411,0.015,-0.0,-0.02,-0.063,0.4,-0.054,4.888,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,15.0,-1.766,0.908,0.163,0.129,-1.979,0.018,0.0,-0.02,-0.087,0.4,-0.045,4.147,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,15.0,-1.516,0.587,0.175,0.126,-1.616,0.002,0.0,-0.02,-0.073,0.4,-0.009,3.293,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,15.0,-0.944,1.465,1.329,0.123,-1.127,-0.004,-0.0,-0.02,-0.037,0.4,-0.028,2.437,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,15.0,-0.361,1.862,1.862,0.123,-0.361,0.0,-0.0,-0.02,0.024,0.4,0.026,1.812,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,15.0,0.288,1.335,1.286,0.123,0.459,-0.029,-0.0,-0.02,0.118,0.4,0.128,0.917,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,15.0,0.975,0.326,0.063,0.126,1.026,-0.046,0.0,-0.02,0.185,0.4,0.146,-0.332,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,15.0,1.364,0.542,-0.022,0.129,1.467,-0.027,-0.0,-0.02,0.175,0.4,0.162,-1.575,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,15.0,1.709,0.924,-0.054,0.131,1.942,-0.023,0.0,-0.02,0.165,0.4,0.124,-2.533,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,20.0,-1.995,1.382,0.199,0.131,-2.419,0.015,-0.0,-0.02,-0.06,0.4,-0.063,4.93,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,20.0,-1.773,0.924,0.175,0.129,-1.992,0.019,0.0,-0.02,-0.083,0.4,-0.057,4.21,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,20.0,-1.527,0.601,0.186,0.126,-1.631,0.003,0.0,-0.02,-0.072,0.4,-0.024,3.368,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,20.0,-0.957,1.475,1.338,0.123,-1.142,-0.003,-0.0,-0.02,-0.038,0.4,-0.042,2.51,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,20.0,-0.375,1.869,1.869,0.123,-0.375,0.0,-0.0,-0.02,0.024,0.4,0.012,1.886,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,20.0,0.259,1.338,1.293,0.123,0.431,-0.03,-0.0,-0.02,0.117,0.4,0.1,1.059,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,20.0,0.946,0.322,0.066,0.126,0.997,-0.049,0.0,-0.02,0.191,0.4,0.117,-0.183,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,20.0,1.347,0.533,-0.023,0.129,1.449,-0.029,-0.0,-0.02,0.176,0.4,0.146,-1.482,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,20.0,1.695,0.913,-0.057,0.131,1.925,-0.024,0.0,-0.02,0.163,0.4,0.107,-2.447,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,25.0,-1.995,1.387,0.203,0.131,-2.421,0.015,-0.0,-0.02,-0.059,0.4,-0.065,4.942,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,25.0,-1.775,0.929,0.179,0.129,-1.995,0.019,0.0,-0.02,-0.082,0.4,-0.061,4.228,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,25.0,-1.53,0.606,0.189,0.126,-1.635,0.004,0.0,-0.02,-0.072,0.4,-0.028,3.39,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,25.0,-0.961,1.478,1.34,0.123,-1.146,-0.002,-0.0,-0.02,-0.038,0.4,-0.046,2.532,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,25.0,-0.379,1.871,1.871,0.123,-0.379,0.0,-0.0,-0.02,0.024,0.4,0.008,1.905,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,25.0,0.25,1.34,1.296,0.123,0.423,-0.03,-0.0,-0.02,0.117,0.4,0.091,1.102,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,25.0,0.937,0.321,0.067,0.126,0.988,-0.05,0.0,-0.02,0.193,0.4,0.109,-0.138,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,25.0,1.342,0.531,-0.023,0.129,1.443,-0.029,-0.0,-0.02,0.177,0.4,0.141,-1.451,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,25.0,1.692,0.91,-0.058,0.131,1.92,-0.025,0.0,-0.02,0.163,0.4,0.102,-2.422,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,30.0,-1.995,1.397,0.213,0.131,-2.426,0.015,-0.0,-0.02,-0.056,0.4,-0.069,4.965,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,30.0,-1.779,0.94,0.188,0.129,-2.003,0.02,0.0,-0.02,-0.08,0.4,-0.068,4.266,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,30.0,-1.538,0.616,0.197,0.126,-1.645,0.004,0.0,-0.02,-0.071,0.4,-0.038,3.439,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,30.0,-0.97,1.486,1.347,0.123,-1.156,-0.002,-0.0,-0.02,-0.039,0.4,-0.056,2.583,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,30.0,-0.387,1.876,1.876,0.123,-0.387,0.0,-0.0,-0.02,0.024,0.4,-0.0,1.946,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,30.0,0.231,1.343,1.301,0.123,0.404,-0.031,-0.0,-0.02,0.116,0.4,0.073,1.194,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,30.0,0.917,0.319,0.071,0.126,0.968,-0.051,0.0,-0.02,0.194,0.4,0.09,-0.038,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,30.0,1.328,0.525,-0.023,0.129,1.428,-0.031,-0.0,-0.02,0.181,0.4,0.128,-1.378,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,30.0,1.683,0.903,-0.06,0.131,1.909,-0.026,0.0,-0.02,0.16,0.4,0.092,-2.369,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-25.0,-30.0,-1.86,1.137,0.055,0.131,-2.179,-0.005,-0.0,-0.02,-0.098,0.4,0.176,3.725,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-25.0,-30.0,-1.587,0.717,0.055,0.129,-1.741,0.0,0.0,-0.02,-0.091,0.4,0.176,2.948,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-25.0,-30.0,-1.264,0.446,0.103,0.126,-1.337,-0.022,0.0,-0.02,-0.104,0.4,0.245,1.891,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-25.0,-30.0,-0.62,1.394,1.301,0.123,-0.797,-0.019,-0.0,-0.02,-0.054,0.4,0.292,0.779,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-25.0,-30.0,0.01,1.864,1.864,0.123,0.01,0.0,-0.0,-0.02,0.024,0.4,0.386,-0.052,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-25.0,-30.0,0.617,1.409,1.316,0.123,0.796,-0.016,-0.0,-0.02,0.106,0.4,0.416,-0.774,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-25.0,-30.0,1.236,0.466,0.13,0.126,1.315,-0.023,0.0,-0.02,0.159,0.4,0.366,-1.779,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-25.0,-30.0,1.561,0.733,0.08,0.129,1.722,-0.003,-0.0,-0.02,0.15,0.4,0.349,-2.857,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-25.0,-30.0,1.839,1.15,0.077,0.131,2.168,-0.004,0.0,-0.02,0.139,0.4,0.339,-3.667,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-25.0,-25.0,-1.869,1.145,0.057,0.131,-2.191,-0.004,-0.0,-0.02,-0.099,0.4,0.164,3.786,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-25.0,-25.0,-1.597,0.722,0.056,0.129,-1.752,0.001,0.0,-0.02,-0.091,0.4,0.164,3.006,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-25.0,-25.0,-1.284,0.449,0.101,0.126,-1.356,-0.02,0.0,-0.02,-0.099,0.4,0.225,1.99,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-25.0,-25.0,-0.64,1.392,1.296,0.123,-0.816,-0.018,-0.0,-0.02,-0.054,0.4,0.272,0.874,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-25.0,-25.0,-0.0,1.86,1.86,0.123,-0.0,0.0,-0.0,-0.02,0.024,0.4,0.376,0.0,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-25.0,-25.0,0.608,1.402,1.31,0.123,0.786,-0.017,-0.0,-0.02,0.105,0.4,0.407,-0.722,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-25.0,-25.0,1.228,0.456,0.123,0.126,1.304,-0.023,0.0,-0.02,0.159,0.4,0.356,-1.726,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-25.0,-25.0,1.556,0.722,0.072,0.129,1.714,-0.004,-0.0,-0.02,0.153,0.4,0.342,-2.812,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-25.0,-25.0,1.839,1.14,0.068,0.131,2.162,-0.005,0.0,-0.02,0.141,0.4,0.333,-3.639,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-25.0,-20.0,-1.873,1.149,0.058,0.131,-2.197,-0.003,-0.0,-0.02,-0.099,0.4,0.158,3.813,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-25.0,-20.0,-1.602,0.725,0.057,0.129,-1.757,0.001,0.0,-0.02,-0.092,0.4,0.16,3.031,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-25.0,-20.0,-1.293,0.45,0.1,0.126,-1.365,-0.019,0.0,-0.02,-0.097,0.4,0.217,2.034,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-25.0,-20.0,-0.648,1.391,1.294,0.123,-0.824,-0.018,-0.0,-0.02,-0.054,0.4,0.264,0.916,-0.073,0.0,0.4,-0.559
